productId,name,url,nutoritionName,nutoritionAmount
0,"California Gold Nutrition, DHA 700フィッシュオイル、医薬品グレード、1,000mg、魚ゼラチンソフトジェル30粒",https://jp.iherb.com/pr/California-Gold-Nutrition-DHA-700-Fish-Oil-Pharmaceutical-Grade-1-000-mg-30-Fish-Gelatin-Softgels/82846,総脂質,1g
0,"California Gold Nutrition, DHA 700フィッシュオイル、医薬品グレード、1,000mg、魚ゼラチンソフトジェル30粒",https://jp.iherb.com/pr/California-Gold-Nutrition-DHA-700-Fish-Oil-Pharmaceutical-Grade-1-000-mg-30-Fish-Gelatin-Softgels/82846,コレステロール,0mg
0,"California Gold Nutrition, DHA 700フィッシュオイル、医薬品グレード、1,000mg、魚ゼラチンソフトジェル30粒",https://jp.iherb.com/pr/California-Gold-Nutrition-DHA-700-Fish-Oil-Pharmaceutical-Grade-1-000-mg-30-Fish-Gelatin-Softgels/82846,天然フィッシュオイル濃縮物,1g
0,"California Gold Nutrition, DHA 700フィッシュオイル、医薬品グレード、1,000mg、魚ゼラチンソフトジェル30粒",https://jp.iherb.com/pr/California-Gold-Nutrition-DHA-700-Fish-Oil-Pharmaceutical-Grade-1-000-mg-30-Fish-Gelatin-Softgels/82846,ドコサヘキサエン酸（トリグリセライドとしてのDHA）,700mg
0,"Lake Avenue Nutrition, 藻類由来DHA、植物性オメガ、200mg、植物性ソフトジェル60粒",https://jp.iherb.com/pr/Lake-Avenue-Nutrition-DHA-from-Marine-Algae-Vegetarian-Omega-200-mg-60-Veggie-Softgels/97412,総脂質,5g
0,"Lake Avenue Nutrition, 藻類由来DHA、植物性オメガ、200mg、植物性ソフトジェル60粒",https://jp.iherb.com/pr/Lake-Avenue-Nutrition-DHA-from-Marine-Algae-Vegetarian-Omega-200-mg-60-Veggie-Softgels/97412,life'sDHA™（ライフズDHA）DHA（藻油由来ドコサヘキサエン酸）,200mg
0,"California Gold Nutrition, 子ども用DHAチュアブル、100％ワイルドホッキョクタラ、ストロベリーレモン風味、魚ゼラチンソフトジェル180粒",https://jp.iherb.com/pr/California-Gold-Nutrition-Children-s-DHA-Chewables-100-Wild-Arctic-Cod-Strawberry-Lemon-Flavor-180-Fish-Gelatin-Softgels/70956,総脂質,1g
0,"California Gold Nutrition, 子ども用DHAチュアブル、100％ワイルドホッキョクタラ、ストロベリーレモン風味、魚ゼラチンソフトジェル180粒",https://jp.iherb.com/pr/California-Gold-Nutrition-Children-s-DHA-Chewables-100-Wild-Arctic-Cod-Strawberry-Lemon-Flavor-180-Fish-Gelatin-Softgels/70956,総オメガ3,162mg
0,"California Gold Nutrition, 子ども用DHAチュアブル、100％ワイルドホッキョクタラ、ストロベリーレモン風味、魚ゼラチンソフトジェル180粒",https://jp.iherb.com/pr/California-Gold-Nutrition-Children-s-DHA-Chewables-100-Wild-Arctic-Cod-Strawberry-Lemon-Flavor-180-Fish-Gelatin-Softgels/70956,DHA（ドコサヘキサエン酸）,81mg
0,"California Gold Nutrition, 子ども用DHAチュアブル、100％ワイルドホッキョクタラ、ストロベリーレモン風味、魚ゼラチンソフトジェル180粒",https://jp.iherb.com/pr/California-Gold-Nutrition-Children-s-DHA-Chewables-100-Wild-Arctic-Cod-Strawberry-Lemon-Flavor-180-Fish-Gelatin-Softgels/70956,EPA（エイコサペンタエン酸）,54mg
